+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                  ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                              ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_ocimem|count_bin_nios2_gen2_0_cpu_ociram_sp_ram|the_altsyncram|auto_generated ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_ocimem|count_bin_nios2_gen2_0_cpu_ociram_sp_ram                               ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_ocimem                                                                        ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_avalon_reg                                                                    ; 48    ; 0              ; 28           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_oci_im                                                                        ; 54    ; 38             ; 51           ; 38             ; 47     ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_oci_pib                                                                       ; 0     ; 36             ; 0            ; 36             ; 36     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_oci_fifo|the_count_bin_nios2_gen2_0_cpu_nios2_oci_fifo_cnt_inc                ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_oci_fifo|the_count_bin_nios2_gen2_0_cpu_nios2_oci_fifo_wrptr_inc              ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_oci_fifo|the_count_bin_nios2_gen2_0_cpu_nios2_oci_compute_input_tm_cnt        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_oci_fifo                                                                      ; 115   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_oci_dtrace|count_bin_nios2_gen2_0_cpu_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_oci_dtrace                                                                    ; 113   ; 0              ; 102          ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_oci_itrace                                                                    ; 24    ; 53             ; 24           ; 53             ; 53     ; 53              ; 53            ; 53              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_oci_dbrk                                                                      ; 98    ; 0              ; 0            ; 0              ; 102    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_oci_xbrk                                                                      ; 64    ; 5              ; 61           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_oci_break                                                                     ; 51    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci|the_count_bin_nios2_gen2_0_cpu_nios2_oci_debug                                                                     ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_nios2_oci                                                                                                                    ; 176   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|count_bin_nios2_gen2_0_cpu_register_bank_b|the_altsyncram|auto_generated                                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|count_bin_nios2_gen2_0_cpu_register_bank_b                                                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|count_bin_nios2_gen2_0_cpu_register_bank_a|the_altsyncram|auto_generated                                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|count_bin_nios2_gen2_0_cpu_register_bank_a                                                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu|the_count_bin_nios2_gen2_0_cpu_test_bench                                                                                                                   ; 318   ; 3              ; 284          ; 3              ; 33     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0|cpu                                                                                                                                                             ; 149   ; 1              ; 29           ; 1              ; 131    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|nios2_gen2_0                                                                                                                                                                 ; 149   ; 0              ; 0            ; 0              ; 130    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|new_sdram_controller_0|the_count_bin_new_sdram_controller_0_input_efifo_module                                                                                               ; 48    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|new_sdram_controller_0                                                                                                                                                       ; 48    ; 1              ; 1            ; 1              ; 40     ; 1               ; 1             ; 1               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|led_pio                                                                                                                                                                      ; 38    ; 24             ; 24           ; 24             ; 40     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0|the_count_bin_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                                                                                            ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0|the_count_bin_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                                                                                      ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0|the_count_bin_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                                                                                           ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0|the_count_bin_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                            ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0|the_count_bin_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                                                                                        ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0|the_count_bin_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo                                                                                                   ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0|the_count_bin_jtag_uart_0_scfifo_r|rfifo|auto_generated                                                                                                          ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0|the_count_bin_jtag_uart_0_scfifo_r                                                                                                                               ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0|the_count_bin_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                                                                                            ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0|the_count_bin_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count                                                                                      ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0|the_count_bin_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                                                                                           ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0|the_count_bin_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                            ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0|the_count_bin_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state                                                                                        ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0|the_count_bin_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo                                                                                                   ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0|the_count_bin_jtag_uart_0_scfifo_w|wfifo|auto_generated                                                                                                          ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0|the_count_bin_jtag_uart_0_scfifo_w                                                                                                                               ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|jtag_uart_0                                                                                                                                                                  ; 38    ; 10             ; 23           ; 10             ; 34     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count|button_pio                                                                                                                                                                   ; 42    ; 0              ; 28           ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; bin_count                                                                                                                                                                              ; 6     ; 1              ; 0            ; 1              ; 47     ; 1               ; 1             ; 1               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
